Numer_wyprawy,MEMBID,MYEAR,FNAME,LNAME
AMAD78301,1,1978,Jean Robert,Clemenson
AMAD78301,2,1978,Bernard,Dufour
AMAD78301,3,1978,Philippe,Gerard
AMAD78301,4,1978,Eric,Lasserre
AMAD78301,5,1978,Guy,Peters
AMAD78301,6,1978,Gerard,Petrignet
AMAD78301,7,1978,Jean,Raphoz
AMAD78301,8,1978,Gerard,Vincent
AMAD79101,1,1979,Floyd A. (Tex),Bossier
AMAD79101,2,1979,Jan Anders Martin,Boysen
AMAD79101,3,1979,David Finlay,Breashears
AMAD79101,4,1979,Roger C.,Brown
AMAD79101,5,1979,Rob,Dubin
AMAD79101,6,1979,Cully,Erdman
AMAD79101,7,1979,Phil,Freedman
AMAD79101,8,1979,Thomas McCallay (Tom),Frost
AMAD79101,9,1979,Rodney Allison,Korich
AMAD79101,10,1979,Greg,Lowe
AMAD79101,11,1979,Jeff,Lowe
AMAD79101,12,1979,Peter,Pilafian
AMAD79101,13,1979,Doug,Robinson
AMAD79101,14,1979,Tom,Ruwitch
AMAD79101,15,1979,John,Wasson
AMAD79101,16,1979,Jonathan,Wright
AMAD79101,17,1979,Lhakpa Dorje,Sherpa
AMAD79301,1,1979,Christiane,Ardisson
AMAD79301,2,1979,Francois,Chaud
AMAD79301,3,1979,Jean,Denis
AMAD79301,4,1979,Annette,Drapier
AMAD79301,5,1979,Michel,Drapier
AMAD79301,6,1979,Gerard,Estienne
AMAD79301,7,1979,Yvan,Estienne
AMAD79301,8,1979,Raymond,Renaud
AMAD79301,9,1979,Joseph,Reynaud
AMAD79301,10,1979,Marc,Salomez
AMAD79301,11,1979,Patrick,Segal
AMAD79301,12,1979,Bruno,Soleymieux
AMAD79301,13,1979,Christiane,Soleymieux
AMAD79301,14,1979,Louis,Audoubert
AMAD79301,15,1979,Claude,Belli
AMAD79301,16,1979,Daniel,Bovero
AMAD79301,17,1979,Bernard,Charbonnel
AMAD79301,18,1979,Daniel,Collot
AMAD79301,19,1979,Jean-Marie,Flandin
AMAD79301,20,1979,Pierre,Jamet
AMAD79301,21,1979,Jean Francois,Manificat
AMAD79301,22,1979,Gilberte,Maurel
AMAD79301,23,1979,Mario,Paffumi
AMAD79301,24,1979,Norbu Jangbu,Sherpa
AMAD79301,25,1979,Jangbu,Sherpa
AMAD79301,26,1979,Lhakpa Norbu,Sherpa
AMAD79302,1,1979,Mervyn (Merv),English
